122,Barakamon,12,"Comédia, Slice of Life",2014,8.4,https://www.anroll.net/a/1cRSpYJIg0
123,Baraou no Souretsu,24,"Ação, Drama, Sobrenatural",2022,??,https://www.anroll.net/a/dnUS0gaUCu
124,Bartender: Kami no Glass,5,"Drama, Seinen",2024,??,https://www.anroll.net/a/uchn02JR42
125,Basilisk: Ouka Ninpouchou,24,"Ação, Artes Marciais, Drama, Histórico",2018,5.5,https://www.anroll.net/a/QuxpQRAYhW
126,Battle Athletess Daiundoukai ReSTART!,11,"Ação, Aventura, Comédia, Escola, Esportes, Ficção Científica",2021,5.2,https://www.anroll.net/a/3blAPRDSfT
127,Beastars,12,"Drama, Psicológico, Shounen, Slice of Life",2019,7.9,https://www.anroll.net/a/MhDeHciZQe
128,Beastars 2,8,"Drama, Psicológico, Shounen, Slice of Life",2021,7.9,https://www.anroll.net/a/i39DpRYupP
129,Beck,26,"Comédia, Drama, Música, Shounen, Slice of Life",2004,8.3,https://www.anroll.net/a/bZTMApSBsQ
130,Beelzebub-jou no Okinimesu mama.,12,"Comédia, Demônios, Fantasia, Romance, Shounen",2018,7.3,https://www.anroll.net/a/Ys93LSgDiM
131,Bem,12,"Demônios, Sobrenatural, Terror",2019,6.0,https://www.anroll.net/a/eJ9WaP03FQ
132,Ben-To,12,"Ação, Comédia",2023,??,https://www.anroll.net/a/h41c785e8P
133,"Benriya Saitou-san, Isekai ni Iku",12,"Ação, Comédia, Fantasia",2023,??,https://www.anroll.net/a/ulR1UQPDQA
134,Bermuda Triangle: Colorful Pastrale,12,"Fantasia, Música",2019,5.5,https://www.anroll.net/a/OvCep2TaVu
135,Berserk,12,"Ação, Aventura, Demônios, Drama, Fantasia, Militar, Romance, Seinen, Sobrenatural, Terror",2016,6.3,https://www.anroll.net/a/cYrjuvO2t0
136,Berserk 1997 (Blu-Ray),25,"Ação, Aventura, Demônios, Drama, Fantasia, Militar, Romance, Seinen, Sobrenatural, Terror",1997,6.3,https://www.anroll.net/a/VyolDTG5Xu
137,Berserk 2,12,"Ação, Aventura, Demônios, Drama, Fantasia, Magia, Militar, Romance, Sobrenatural, Terror",2017,8.5,https://www.anroll.net/a/2YHRWddXth
138,Berserk: Ougon Jidai-hen - Memorial Edition,13,"Ação, Drama, Fantasia, Sobrenatural, Terror",2022,??,https://www.anroll.net/a/t29aqA8FRf
139,Beyblade Burst,29,"Ação, Aventura, Esportes, Ficção Científica, Shounen",2016,6.3,https://www.anroll.net/a/NAx9h4ZMtK
140,Biao Ren: Blades of the Guardians,15,"Ação, Histórico",2023,??,https://www.anroll.net/a/qepxAqzSJu
